"bundesland","freq","date"
"Ktn",97,2020-03-21 23:00:00
"NÖ",422,2020-03-21 23:00:00
"OÖ",600,2020-03-21 23:00:00
"Sbg",209,2020-03-21 23:00:00
"Stmk",393,2020-03-21 23:00:00
"T",617,2020-03-21 23:00:00
"Vbg",249,2020-03-21 23:00:00
"W",364,2020-03-21 23:00:00
"Bgld",54,2020-03-21 23:15:00
"Ktn",97,2020-03-21 23:15:00
"NÖ",422,2020-03-21 23:15:00
"OÖ",605,2020-03-21 23:15:00
"Sbg",209,2020-03-21 23:15:00
"Stmk",393,2020-03-21 23:15:00
"T",624,2020-03-21 23:15:00
"Vbg",249,2020-03-21 23:15:00
"W",364,2020-03-21 23:15:00
"Bgld",54,2020-03-21 23:30:00
"Ktn",97,2020-03-21 23:30:00
"NÖ",422,2020-03-21 23:30:00
"OÖ",606,2020-03-21 23:30:00
"Sbg",209,2020-03-21 23:30:00
"Stmk",393,2020-03-21 23:30:00
"T",624,2020-03-21 23:30:00
"Vbg",249,2020-03-21 23:30:00
"W",364,2020-03-21 23:30:00
"Bgld",54,2020-03-21 23:45:00
"Ktn",97,2020-03-21 23:45:00
"NÖ",422,2020-03-21 23:45:00
"OÖ",606,2020-03-21 23:45:00
"Sbg",209,2020-03-21 23:45:00
"Stmk",393,2020-03-21 23:45:00
"T",624,2020-03-21 23:45:00
"Vbg",249,2020-03-21 23:45:00
"W",364,2020-03-21 23:45:00
